"Tortoise_ID","Effort","Plant_Species","N_Interactions","Freq_frugivory"
"T01",28.45,NA,NA,NA
"T02",32.08,"Morinda citrifolia",1,3.11720698254364
"T03",5.63,NA,NA,NA
"T05",30.42,NA,NA,NA
"T06",11.27,NA,NA,NA
"T07",13.08,NA,NA,NA
"T08",35.13,"Morinda citrifolia",9,25.6191289496157
"T08",35.13,"Ochrosia oppositifolia",1,2.84656988329063
"T08",35.13,"Psidium guajava",1,2.84656988329063
"T08",35.13,"Terminalia catappa",5,14.2328494164532
"T10",19.5,NA,NA,NA
"T11",28.48,"Morinda citrifolia",1,3.51123595505618
"T12",11.78,NA,NA,NA
