Date;Time_Monitored_Start;Time_Monitored_End;Tortoise_ID;Plant_Species;Plant_Material;Plant_Type;Notes;
15/2/19;11:22;11:37;T07;None;;;;
15/2/19;11:22;11:37;T06;None;;;;
15/2/19;11:48;12:05;T12;None;;;;
15/2/19;17:54;18:09;T05;None;;;;
15/2/19;18:27;18:42;T08;None;;;;
15/2/19;18:27;18:42;T02;None;;;;
15/2/19;18:27;18:42;T11;None;;;;
16/2/19;10:18;10:48;T06;None;;;;
16/2/19;11:20;11:52;T12;None;;;;
16/2/19;17:50;18:25;T02;None;;;;
16/2/19;17:50;18:25;T08;None;;;;
17/2/19;6:40;7:09;T08;Commelina benghalensis;Leaves;Herbaceous;Fresh leaves;
17/2/19;6:40;7:09;T08;Asystasia gangetica;Leaves;Herbaceous;Fresh leaves;
17/2/19;6:40;7:09;T08;Amaranthus dubius;Leaves;Herbaceous;Fresh leaves;
17/2/19;6:40;7:09;T08;Digitaria horizontalis;Leaves;Herbaceous;Fresh leaves;
17/2/19;6:40;7:09;T08;Musa sp.;Leaves;Herbaceous;Fresh leaves;
17/2/19;6:50;7:22;T02;Asystasia gangetica;Leaves;Herbaceous;Fresh leaves;
17/2/19;7:35;8:05;T05;None;;;;
17/2/19;11:20;11:41;T05;None;;;;
17/2/19;11:44;12:10;T08;None;;;;
17/2/19;11:44;12:10;T02;None;;;;
17/2/19;16:35;17:05;T06;Kyllinga polyphylla;Leaves;Herbaceous;Fresh leaves;
17/2/19;17:16;17:36;T12;None;;;;
17/2/19;17:48;18:18;T02;None;;;;
17/2/19;17:48;18:18;T08;Artocarpus altilis;Leaves;Woody;Fallen leaves;
17/2/19;18:22;18:35;T05;None;;;;
18/2/19;6:50;7:20;T06;Megathyrsus maximus;Leaves;Herbaceous;Fresh leaves;
18/2/19;7:27;7:57;T07;Megathyrsus maximus;Leaves;Herbaceous;Fresh leaves;
18/2/19;10:42;11:12;T03;None;;;In a pineapple patch. Shoft fecal sample collected, probably pinneaple diarrea;
18/2/19;16:46;17:16;T02;None;;;;
18/2/19;16:46;17:16;T08;Amaranthus dubius;Leaves;Herbaceous;Fresh leaves;
18/2/19;16:46;17:16;T11;Commelina benghalensis;Leaves;Herbaceous;Fresh leaves;
18/2/19;17:24;17:54;T05;None;;;;
18/2/19;18:00;18:30;T02;None;;;;
18/2/19;18:00;18:30;T08;None;;;;
19/2/19;7:30;8:00;T02;None;;;;
19/2/19;7:30;8:00;T08;Commelina benghalensis;Leaves;Herbaceous;;
19/2/19;8:03;8:23;T05;None;;;;
19/2/19;11:08;11:38;T12;None;;;;
19/2/19;13:45;14:18;T08;None;;;;
19/2/19;14:24;14:54;T10;None;;;;
19/2/19;17:05;17:37;T08;Commelina benghalensis;Leaves;Herbaceous;;
19/2/19;17:44;18:00;T05;None;;;;
19/2/19;18:02;18:22;T10;None;;;;
19/2/19;18:29;18:39;T08;None;;;;
20/2/19;7:07;7:37;T07;Megathyrsus maximus;Leaves;Herbaceous;;
20/2/19;7:07;7:37;T07;Asystasia gangetica;Leaves;Herbaceous;;
20/2/19;7:07;7:37;T06;None;;;;
20/2/19;7:43;8:00;T12;None;;;;
20/2/19;8:17;8:32;T10;None;;;;
20/2/19;8:17;8:32;T05;None;;;;
20/2/19;8:35;9:19;T08;Artocarpus altilis;Leaves;Woody;Fallen leaves;
20/2/19;8:35;9:19;T08;Ochrosia oppositifolia;Fruits;Woody;Fallen fruits;
20/2/19;8:35;9:19;T08;Morinda citrifolia;Fruits;Woody;Fallen fruits;
20/2/19;8:35;9:19;T08;Commelina benghalensis;Leaves;Herbaceous;Fresh leaves;
20/2/19;8:35;9:19;T01;None;;;;
20/2/19;8:35;9:19;T02;None;;;;
20/2/19;8:35;9:19;T11;Commelina benghalensis;Leaves;Herbaceous;Fresh leaves;
20/2/19;14:50;15:07;T01;None;;;;
20/2/19;14:50;15:07;T02;None;;;;
20/2/19;15:09;15:26;T08;None;;;;
20/2/19;15:09;15:26;T11;None;;;;
20/2/19;15:29;15:45;T10;None;;;;
20/2/19;15:29;15:38;T05;None;;;;
20/2/19;16:45;17:15;T06;None;;;;
20/2/19;16:45;17:15;T07;None;;;;
21/2/19;7:00;7:30;T08;Commelina benghalensis;Leaves;Herbaceous;Fresh leaves;
21/2/19;7:00;7:30;T08;Asystasia gangetica;Leaves;Herbaceous;Fresh leaves;
21/2/19;7:00;7:30;T11;Commelina benghalensis;Leaves;Herbaceous;Fresh leaves;
21/2/19;7:31;7:46;T01;None;;;;
21/2/19;7:31;7:46;T02;None;;;;
21/2/19;7:48;8:00;T05;None;;;;
21/2/19;8:02;8:22;T10;None;;;;
21/2/19;8:47;9:02;T03;None;;;;
21/2/19;9:17;9:38;T07;None;;;;
21/2/19;9:17;9:38;T06;None;;;;
21/2/19;10:23;10:52;T01;None;;;;
21/2/19;10:23;10:52;T02;None;;;;
21/2/19;10:56;11:25;T11;None;;;;
21/2/19;11:33;12:09;T08;Terminalia catappa;Fruits;Woody;Fallen fruits;
21/2/19;11:33;12:09;T08;Morinda citrifolia;Fruits;Woody;Fallen fruits;
21/2/19;11:37;21:01;T05;Ficus sp.;Leaves;Woody;Fallen leaves;Probably Ficus benghalensis
21/2/19;18:07;18:18;T01;None;;;;
21/2/19;18:07;18:18;T02;None;;;;
21/2/19;18:07;18:18;T11;None;;;;
21/2/19;18:27;18:40;T05;None;;;;
