"Sample_ID","Scat_WetWeight","Tortoise_ID","Ananas_comosus","Cordia_subcordata","Ficus_benghalensis","Ficus_reflexa","Megathyrsus_maximus","Morinda_citrifolia","Phyllantus_amarus","Syzygium_cumini","Terminalia_catappa"
1,157.45,"T12",0,0,0,32,0,0,0,0,0
2,303.17,"T06",0,0,0,0,68,0,0,0,0
3,204.54,"T07",0,0,0,0,96,0,0,0,0
4,643.28,"T03",11,0,0,0,0,0,0,0,0
5,457.81,"T10",0,0,0,0,0,0,0,0,0
6,827.62,"T08",0,0,0,0,0,603,0,0,8
7,375.06,"T03",49,0,0,0,0,0,0,0,0
8,251.42,"T02",0,0,0,0,0,305,0,0,1
9,402.63,"T08",0,0,0,0,0,1224,0,0,0
10,346.15,"T12",0,0,0,311,0,0,0,0,0
11,512.96,"T11",0,0,0,0,0,0,0,0,0
12,534.22,"T01",0,0,0,48,0,2536,0,15,0
13,306.52,"T05",0,0,0,826,0,0,0,0,0
14,400.71,"T02",0,0,0,0,0,1348,12,0,0
15,148.66,"T01",0,0,0,0,0,313,0,0,0
16,347.82,"T05",0,0,0,0,0,0,0,0,0
17,321.98,"T06",0,0,0,0,85,0,0,0,0
18,191.48,"T10",0,0,0,515,0,0,0,0,0
19,335.13,"T11",0,0,0,0,0,91,0,0,0
20,337.45,"T01",0,0,0,0,0,262,96,0,0
21,270.39,"T02",0,1,0,0,0,784,0,0,0
22,184.67,"T03",0,0,0,0,0,0,0,0,0
23,262.42,"T05",0,0,0,0,0,0,0,0,0
24,404.91,"T06",0,0,0,0,0,0,0,0,0
25,405.27,"T08",0,0,4,0,0,1568,0,0,0
26,174.71,"T10",0,0,0,0,0,0,0,0,0
27,157.7,"T11",0,0,0,0,0,29,0,0,0
28,468.79,"T12",0,0,0,0,0,0,0,0,0
29,235.88,"T07",0,0,0,0,0,0,0,0,0
30,435.07,"T07",0,0,0,0,0,0,0,0,0
