Tortoise_ID;Weight ;N_seeds;Seeds_Introduced;Seeds_native;Perc_Seeds_Introduced;Perc_Seeds_Native;Nº Species eaten;Species_Native;Species_Introduced;Perc_S_Native;Perce_S_Introduced;Species list
T01;32;3270;111;3159;3.394495413;97;4;2;2;50;50;F. reflexa, M. citrifolia, P. amarus, S. cumini
T02;52;2458;20;2438;0.81366965;99;4;2;2;50;50;C. subcordata, M. citrifolia, P. amarus, T. catappa
T03;35;60;60;0;100;0;1;0;1;0;100;A. comosus
T05;28;826;0;826;0;100;1;1;0;100;0;F. reflexa
T06;88;153;0;153;0;100;1;1;0;100;0;M. maximus
T07;36;96;0;96;0;100;1;1;0;100;0;M. maximus
T08;70;3407;12;3395;0.352216026;100;3;1;2;33.33333333;66.66666667;F. benghalensis, M. citrifolia, T. catappa
T10;34;515;0;515;0;100;1;1;0;100;0;F. reflexa
T11;52;120;0;120;0;100;1;1;0;100;0;M. citrifolia
T12;60;343;0;343;0;100;1;1;0;100;0;F. reflexa
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
